Kentavious Caldwell-Pope,SG,det,http://www.basketball-reference.com/players/c/caldwke01/gamelog/
Isaiah Canaan,PG,chi,http://www.basketball-reference.com/players/c/canaais01/gamelog/
Clint Capela,C,hou,http://www.basketball-reference.com/players/c/capelca01/gamelog/
DeMarre Carroll,SF,tor,http://www.basketball-reference.com/players/c/carrode01/gamelog/
Vince Carter,SG,mem,http://www.basketball-reference.com/players/c/cartevi01/gamelog/
Michael Carter-Williams,PG,chi,http://www.basketball-reference.com/players/c/cartemi01/gamelog/
Omri Casspi,SF,sac,http://www.basketball-reference.com/players/c/casspom01/gamelog/
Willie Cauley-Stein,C,sac,http://www.basketball-reference.com/players/c/caulewi01/gamelog/
Tyson Chandler,C,pho,http://www.basketball-reference.com/players/c/chandty01/gamelog/
Wilson Chandler,SF,den,http://www.basketball-reference.com/players/c/chandwi01/gamelog/
Rakeem Christmas,PF,ind,http://www.basketball-reference.com/players/c/chrisra01/gamelog/
Ian Clark,SG,gsw,http://www.basketball-reference.com/players/c/clarkia01/gamelog/
Jordan Clarkson,PG,lal,http://www.basketball-reference.com/players/c/clarkjo01/gamelog/
Darren Collison,PG,sac,http://www.basketball-reference.com/players/c/collida01/gamelog/
Nick Collison,PF,okc,http://www.basketball-reference.com/players/c/collini01/gamelog/
Mike Conley,PG,mem,http://www.basketball-reference.com/players/c/conlemi01/gamelog/
Pat Connaughton,SG,por,http://www.basketball-reference.com/players/c/connapa01/gamelog/
Chris Copeland,SF,nor,http://www.basketball-reference.com/players/c/copelch01/gamelog/
DeMarcus Cousins,C,sac,http://www.basketball-reference.com/players/c/couside01/gamelog/
Robert Covington,SF,phi,http://www.basketball-reference.com/players/c/covinro01/gamelog/
Allen Crabbe,SG,por,http://www.basketball-reference.com/players/c/crabbal01/gamelog/
Jamal Crawford,SG,lac,http://www.basketball-reference.com/players/c/crawfja01/gamelog/
Jae Crowder,SF,bos,http://www.basketball-reference.com/players/c/crowdja01/gamelog/
Dante Cunningham,PF,nor,http://www.basketball-reference.com/players/c/cunnida01/gamelog/
Seth Curry,SG,dal,http://www.basketball-reference.com/players/c/curryse01/gamelog/
Stephen Curry,PG,gsw,http://www.basketball-reference.com/players/c/curryst01/gamelog/
Troy Daniels,SG,mem,http://www.basketball-reference.com/players/d/danietr01/gamelog/
Anthony Davis,PF,nor,http://www.basketball-reference.com/players/d/davisan02/gamelog/
Ed Davis,PF,por,http://www.basketball-reference.com/players/d/davised01/gamelog/
Eric Dawson,PF,uth,http://www.basketball-reference.com/players/d/dawsoer01/gamelog/
Dewayne Dedmon,C,sas,http://www.basketball-reference.com/players/d/dedmode01/gamelog/
Sam Dekker,SF,hou,http://www.basketball-reference.com/players/d/dekkesa01/gamelog/
